Resource,Type,Manufacturer,Model,Value,Status
"POCKETWIZARD - B44SA-ON CAMPUS ONLY!","POCKETWIZARD KITS",,,,Offline
"POCKETWIZARD - B45SA-ON CAMPUS ONLY!","POCKETWIZARD KITS",,,,Offline
"POCKETWIZARD - B46SA-ON CAMPUS ONLY!","POCKETWIZARD KITS",POCKETWIZARD,"PLUS II",$1.88,Offline
"POCKETWIZARD - B47SA-ON CAMPUS ONLY!","POCKETWIZARD KITS",POCKETWIZARD,"PLUS II",$1.88,"Checked out"
"POCKETWIZARD - B48SA-ON CAMPUS ONLY!","POCKETWIZARD KITS",POCKETWIZARD,"PLUS II",$1.88,Available
"POCKETWIZARD - B49SA","POCKETWIZARD KITS",POCKETWIZARD,"PLUS II",$1.88,Available
"POCKETWIZARD MULTIMAX - B27PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",,,,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B01PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B02PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B03PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B04PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B05PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD MULTIMAX TRANSCEIVER - B06PW","POCKETWIZARD MULTIMAX TRANSCEIVERS",POCKETWIZARD,"MULTIMAX TRANSCEIVER",$295.00,Non-circulating
"POCKETWIZARD PLUS X - B07PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B08PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B09PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B10PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B11PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B12PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B13PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POCKETWIZARD PLUS X - B14PW","POCKETWIZARD PLUS X TRANSMITTER",POCKETWIZARD,"PLUS X",$100.00,Non-circulating
"POINT & SHOOT A2000IS - S01CD","POINT AND SHOOT CAMERAS",CANON,PG1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S02CD","POINT AND SHOOT CAMERAS",CANON,PC131O,$1.69,Available
"POINT & SHOOT A2000IS - S03CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Offline
"POINT & SHOOT A2000IS - S04CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Offline
"POINT & SHOOT A2000IS - S05CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Available
"POINT & SHOOT A2000IS - S06CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S07CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Available
"POINT & SHOOT A2000IS - S08CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S09CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Offline
"POINT & SHOOT A2000IS - S10CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S11CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Available
"POINT & SHOOT A2000IS - S12CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S13CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,"Checked out"
"POINT & SHOOT A2000IS - S14CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Offline
"POINT & SHOOT A2000IS - S15CD","POINT AND SHOOT CAMERAS",CANON,PC1310,$1.69,Available
"POLAROID BACK - B04HA","POLAROID BACK",HASSELBLAD,"POLAROID BACK",$1.30,Available
"POLAROID BACK - B06HA","POLAROID BACK",NPC,"POLAROID BACK",$1.00,Offline
"POLAROID BACK - B07HA","POLAROID BACK",HASSELBLAD,"POLAROID BACK",$1.30,Available
"POLAROID BACK - B11HA","POLAROID BACK",Polaroid,"POLAROID BACK",$1.30,Available
"POLAROID BACK - B12HA","POLAROID BACK",Polaroid,"POLAROID BACK",$1.30,Available
"POLAROID BACK - B14HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B15HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Offline
"POLAROID BACK - B16HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B17HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B18HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B19HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B20HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B22HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B23HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B24HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B25HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POLAROID BACK - B26HA","POLAROID BACK",Polaroid,"POLAROID BACK",$90.00,Available
"POWERSHOT PRO1 - B95CD","POINT AND SHOOT",CANON,PRO1,$3.50,Offline
"POWERSHOT PRO1 - B96CD","POINT AND SHOOT",CANON,PRO1,$3.50,Offline
"POWERSHOT S70 - B97CD","POINT AND SHOOT",CANON,"Powershot s70",$3.00,Offline
"POWERSHOT S80 - A26CD","POINT AND SHOOT",CANON,S80,$3.00,Offline
"POWERSHOT S80 - A27CD","POINT AND SHOOT",CANON,S80,$3.00,Offline
"PRISM FINDER RB/RZ - B02MA","RZ 67 ACCESSORIES",MAMIYA,"PRISM FINDER RB/RZ",$7.00,Non-circulating
"PRISM FINDER RB/RZ - B03MA","RZ 67 ACCESSORIES",MAMIYA,"PRISM FINDER RB/RZ",$7.00,Available
"PRISM FINDER RZ67 AE - B01MA","RZ 67 ACCESSORIES",MAMIYA,"PRISM FINDER RZ67 AE",$13.00,Available
"PRISM FINDER RZ67 - B20MA","RZ 67 ACCESSORIES",MAMIYA,"RZ67 AE PRISM FINDER",$13.00,Available
"PRO 7B HEAD - B13SH","STROBE HEADS",PROFOTO,"PRO 7B HEAD",$9.80,Non-circulating
"PRO 7B HEAD - B19SH","STROBE HEADS",PROFOTO,"PRO 7B HEAD",$9.80,Non-circulating
"PRO 7B HEAD - B21SH","STROBE HEADS",PROFOTO,"PRO 7B HEAD",$9.80,Non-circulating
"PRO 7B KIT - B07SK","PROFOTO PRO 7B BATTERY KIT",PROFOTO,"PRO 7B POWERPACK",$38.50,Non-circulating
"PRO 7B KIT - B08SK","PROFOTO PRO 7B BATTERY KIT",PROFOTO,"PRO 7B POWERPACK",$38.50,Non-circulating
"PRO B HEAD - B04SH","STROBE HEADS",,,,Non-circulating
"PRO B HEAD - B40SH","STROBE HEADS",PROFOTO,"PRO B HEAD",$8.00,Non-circulating
"PRO B HEAD - B41SH","STROBE HEADS",PROFOTO,"PRO B HEAD",$9.80,Non-circulating
"PRO B HEAD - B42SH","STROBE HEADS",PROFOTO,"PRO B HEAD",$9.80,Non-circulating
"PRO B HEAD - B43SH","STROBE HEADS",PROFOTO,"PRO 7B HEAD",$9.80,Non-circulating
"PRO B HEAD - B46SH","STROBE HEADS",PROFOTO,"PRO B HEAD",$9.80,Non-circulating
"PROFOTO ACUTE D4 RINGFLASH - B02SK","PROFOTO RINGFLASH",PROFOTO,"ACUTE D4 RING UV",$995.00,Available
"PROFOTO AIR CABLE - CANON","RELEASE CABLES - PROFOTO AIR",,,,Available
"PROFOTO AIR CABLE - NIKON","RELEASE CABLES - PROFOTO AIR",,,,Available
"PROFOTO AIR CABLE - SONY / MINOLTA ","RELEASE CABLES - PROFOTO AIR",,,,Available
"PROFOTO AIR REMOTE- B01TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,"Checked out"
"PROFOTO AIR REMOTE- B02TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,"Checked out"
"PROFOTO AIR REMOTE- B03TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Available
"PROFOTO AIR REMOTE- B04TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR REMOTE- B05TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Available
"PROFOTO AIR REMOTE- B06TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Available
"PROFOTO AIR REMOTE- B07TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,"Checked out"
"PROFOTO AIR REMOTE- B08TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Available
"PROFOTO AIR REMOTE- B09TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Available
"PROFOTO AIR REMOTE- B10TR","PROFOTO AIR REMOTE",PROFOTO,"PROFOTO AIR REMOTE",$400.00,Offline
"PROFOTO AIR TTL CANON - B01TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,"Checked out"
"PROFOTO AIR TTL CANON - B02TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B03TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B04TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,"Checked out"
"PROFOTO AIR TTL CANON - B05TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B06TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B07TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B08TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B09TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL CANON - B10TC","PROFOTO AIR TTL - CANON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,Available
"PROFOTO AIR TTL NIKON - B01TN","PROFOTO AIR TTL - NIKON",PROFOTO,"AIR REMOTE TTL-N",$400.00,Available
"PROFOTO AIR TTL NIKON - B02TN","PROFOTO AIR TTL - NIKON",PROFOTO,"PROFOTO AIR TTL - CANON",$400.00,"Checked out"
"PROFOTO B1 STROBE HEAD - B70SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B71SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B72SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B73SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B74SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B75SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B76SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B1 STROBE HEAD - B77SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B1 HEAD","$2,090.00",Non-circulating
"PROFOTO B2 BATTERY KIT - B05PK","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 250W LOCATION KIT","$3,000.00","Checked out"
"PROFOTO B2 BATTERY KIT - B06PK","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 250W LOCATION KIT","$3,000.00","Checked out"
"PROFOTO B2 BATTERY KIT - B07PK","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 250W LOCATION KIT","$3,000.00","Checked out"
"PROFOTO B2 BATTERY KIT - B08PK","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 250W LOCATION KIT","$3,000.00","Checked out"
"PROFOTO B2 HEAD - B78SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B79SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B80SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B81SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B82SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B83SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B84SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO B2 HEAD - B85SH","B1 - B2 PROFOTO BATTERY KITS",PROFOTO,"B2 HEAD","$1,000.00",Non-circulating
"PROFOTO BEAUTY DISH - B01BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Non-circulating
"PROFOTO BEAUTY DISH - B02BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Non-circulating
"PROFOTO BEAUTY DISH - B03BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Non-circulating
"PROFOTO BEAUTY DISH - B04BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Non-circulating
"PROFOTO BEAUTY DISH - B05BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Available
"PROFOTO BEAUTY DISH - B06BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Available
"PROFOTO BEAUTY DISH - B07BD",PROFOTO,PROFOTO,"100608 SOFTLIGHT REFLECTOR",$400.00,Available
"PROFOTO D1 500/1000 KIT - B20SK","PROFOTO D1 500 MONOLIGHT KITS",PROFOTO,"D1 500 MONOLIGHT","$2,099.00",Available
"PROFOTO D1 500/1000 KIT - B21SK","PROFOTO D1 500 MONOLIGHT KITS",PROFOTO,"D1 500 MONOLIGHT","$2,099.00",Available
"PROFOTO D1 500/500 KIT - B22SK","PROFOTO D1 500 MONOLIGHT KITS",PROFOTO,"D1 500 MONOLIGHT","$2,099.00",Available
"PROFOTO D1 STROBE HEAD - B-86-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO D1 STROBE HEAD - B-87-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO D1 STROBE HEAD - B-88-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO D1 STROBE HEAD - B-89-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO D1 STROBE HEAD - B-90-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO D1 STROBE HEAD - B-91-SH","STROBE HEADS",PROFOTO,"D1 500 WS HEAD","$1,000.00",Non-circulating
"PROFOTO HR 2x3 SOFTBOX - B03PB","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Available
"PROFOTO HR 2x3 SOFTBOX - B04PB","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Available
"PROFOTO HR 2x3 SOFTBOX - B05PB","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Available
"PROFOTO HR 2x3 SOFTBOX - B06PB","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Available
"PROFOTO HR 3X4 SOFTBOX - B01PB - ON CAMPUS ONLY!","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Offline
"PROFOTO HR 3X4 SOFTBOX - B02PB","PROFOTO TUNGSTEN AIR SOFTBOXES",PROFOTO,"HR SOFTBOX 3X4 RF",$774.00,Available
"PROFOTO MAGNUM REFLECTOR - B01MAG",PROFOTO,PROFOTO,"100624 MAGNUM REFLECTOR",$330.00,Non-circulating
"PROFOTO MAGNUM REFLECTOR - B02MAG",PROFOTO,PROFOTO,"100624 MAGNUM REFLECTOR",$330.00,Non-circulating
"PROFOTO MAGNUM REFLECTOR - B03MAG",PROFOTO,PROFOTO,"100624 MAGNUM REFLECTOR",$330.00,Non-circulating
"PROFOTO MAGNUM REFLECTOR - B04MAG",PROFOTO,PROFOTO,"100624 MAGNUM REFLECTOR",$330.00,Non-circulating
"PROFOTO MAGNUM REFLECTOR - B05MAG",PROFOTO,PROFOTO,"100624 MAGNUM REFLECTOR",$330.00,Non-circulating
"PROFOTO NARROW BEAM REFLECTOR - B01NB",PROFOTO,PROFOTO,100617,$330.00,Non-circulating
"PROFOTO NARROW BEAM REFLECTOR - B02NB",PROFOTO,PROFOTO,100617,$330.00,Available
"PROFOTO OCF 2' OCTABOX - OSB21","B1-B2 PROFOTO BATTERY KIT ACCESSORIES (OCF)",,,,Available
"PROFOTO OCF 2' OCTABOX - OSB22","B1-B2 PROFOTO BATTERY KIT ACCESSORIES (OCF)",,,,Available
"PROFOTO OCF BARNDOOR - B01PBD","OCF BARNDOORS",,,,Available
"PROFOTO OCF BARNDOOR - B02PBD","OCF BARNDOORS",PROFOTO,101203,$150.00,Available
"PROFOTO OCF BARNDOOR - B03PBD","OCF BARNDOORS",PROFOTO,101203,$150.00,Available
"PROFOTO OCF BARNDOOR - B04PBD","OCF BARNDOORS",PROFOTO,101203,$150.00,Available
"PROFOTO OCF GRID KIT - B01GK","OCF GRID KITS",PROFOTO,101030,$400.00,Available
"PROFOTO OCF GRID KIT - B02GK","OCF GRID KITS",PROFOTO,101030,$400.00,Available
"PROFOTO OCF GRID KIT - B03GK","OCF GRID KITS",PROFOTO,101030,$400.00,"Checked out"
"PROFOTO OCF GRID KIT - B04GK","OCF GRID KITS",PROFOTO,101030,$400.00,Available
"PROFOTO OCF SPEEDRING - B50SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B51SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B52SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Offline
"PROFOTO OCF SPEEDRING - B53SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B54SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B55SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B56SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B57SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B58SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OCF SPEEDRING - B59SR","OCF SPEEDRINGS",PROFOTO,101210,$100.00,Available
"PROFOTO OFC SNOOT - B01ST","OCF SNOOTS",PROFOTO,101200,$60.00,Available
"PROFOTO OFC SNOOT - B02ST","OCF SNOOTS",PROFOTO,101200,$60.00,Available
"PROFOTO PROTUNGSTEN AIR HEAD - B01PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B02PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B03PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B04PH","PROFOTO TUNGSTEN AIR",,,,Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B05PH","PROFOTO TUNGSTEN AIR",,,,Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B06PH","PROFOTO TUNGSTEN AIR",,,,Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B07PH","PROFOTO TUNGSTEN AIR",,,,Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B08PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B09PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO PROTUNGSTEN AIR HEAD - B10PH","PROFOTO TUNGSTEN AIR",PROFOTO,"PROTUNGSTEN AIR","$1,271.00",Non-circulating
"PROFOTO RINGFLASH - B13SK","PROFOTO RINGFLASH",PROFOTO,RINGFLASH,$13.51,Available
"PROFOTO SNOOT",PROFOTO,,,$1.50,Available
"PROFOTO TUNGSTEN 2 HEAD KIT- B10LK-ON CAMPUS ONLY!","PROFOTO TUNGSTEN AIR",ARRI,"ARRI TUNGSTEN 1000 WATT",,Offline
"PROFOTO TUNGSTEN 2 HEAD KIT- B11LK","PROFOTO TUNGSTEN AIR",,,,Offline
"PROFOTO TUNGSTEN 2 HEAD KIT- B12LK","PROFOTO TUNGSTEN AIR",ARRI,"ARRI TUNGSTEN 1000 WATT",,Available
"PROFOTO TUNGSTEN 2 HEAD KIT- B13LK","PROFOTO TUNGSTEN AIR",ARRI,"ARRI TUNGSTEN 1000 WATT",,Available
"PROFOTO TUNGSTEN 2 HEAD KIT- B14LK","PROFOTO TUNGSTEN AIR",ARRI,"ARRI TUNGSTEN 1000 WATT",,Offline
"PROJECTOR CABLE PACK","PROJECTOR CABLE PACK",,,,Available
"PROJECTOR POWER PACK W/O ADAPTER","PROJECTOR CABLE PACK",,,,Available
"PROJECTOR REMOTE","SLIDE PROJECTORS AND CAROUSELS",,,,Available
"PRO VIDEO HEAD - B04TH","PHOTO TRIPODS",MANFROTTO,501HDV,$1.35,Non-circulating
"PRO VIDEO HEAD - B44TH","PHOTO TRIPODS",MANFROTTO,501HDV,,Non-circulating
"Push Pins - B01PP","PUSH PINS",,,,Available
"Push Pins - B02PP","PUSH PINS",,,,Available
"Push Pins - B03PP","PUSH PINS",,,,Available
"Push Pins - B04PP","PUSH PINS",,,,Available
"Push Pins - B05PP","PUSH PINS",,,,Available
"Push Pins - B06PP","PUSH PINS",,,,Available
"Push Pins - B07PP","PUSH PINS",,,,Available
"Push Pins - B08PP","PUSH PINS",,,,Available
"Push Pins - B09PP","PUSH PINS",,,,Available
"Push Pins - B10PP","PUSH PINS",,,,Available
"QFLASH KIT - B01QK","QFLASH KIT",QUANTUM,"QFLASH TTL X5D-R  200-400 FLASH",$2.00,Offline
"QFLASH KIT - B02QK","QFLASH KIT",QUANTUM,"QFLASH X5D",$2.00,Available
"Q FLASH SYNC","HANDHELD FLASH ACCESSORIES",,,,Available
"QFLASH X2 HEAD - B04QH","HANDHELD FLASH",QUANTUM,"QFLASH X2 FLASH HEAD",$7.70,Non-circulating
"QFLASH X5D HEAD - B05QH","HANDHELD FLASH",QUANTUM,"QFLASH X5D FLASH HEAD",$7.70,Non-circulating
"QFLASH X5D HEAD - B06QH","HANDHELD FLASH",QUANTUM,"QFLASH X5D FLASH HEAD",$7.70,Non-circulating
"QFLASH X5D-R HEAD - B03QH","HANDHELD FLASH",QUANTUM,"QFLASH TTL X5D-R 200-400 FLASH ",$7.70,Non-circulating
"QPAQ POWER PACK - B01QB","HANDHELD FLASH",QUANTUM,PX,$7.06,Available
"QPAQ-X POWER PACK - B02QB","HANDHELD FLASH",QUANTUM,"QPAQ-X POWER PACK",$7.06,Non-circulating
"QPAQ-X POWER PACK - B04QB","HANDHELD FLASH",QUANTUM,"QPAQ-X POWER PACK",$7.06,Non-circulating
"RANGER RX RINGFLASH & HEAD - B01EK","ELINCHROM RANGER RX BATTERY KIT",ELINCHROM,"RANGER RX SPEED AS",$20.66,Available
"RANGER S FLASH HEAD - B03EH","ELINCHROM RANGER RX BATTERY KIT",ELINCHROM,"RANGER FREELITE S FLASH HEAD",$5.25,Non-circulating
"REBEL 2000 - B99CD","FILM SLR",CANON,"REBEL 2000",$1.00,Available
"REFLECTIVE ADAPTER FOR SEKONIC L-358","LIGHT METER ACCESSORIES",,,,Available
"REMOTE CONTROL","ZOOM H4N ACCESSORIES",,,,Available
"Retina Mac Book Pro - B01LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"Retina Mac Book Pro - B02LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"Retina Mac Book Pro - B03LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"Retina Mac Book Pro - B04LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"Retina Mac Book Pro - B05LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"Retina Mac Book Pro - B06LT","LAPTOPS (FOR STUDIO USE ONLY)",Apple,A1278,"$1,600.00",Available
"REVO RED STEADYCAM - B43TP",STEADYCAM,,,,Available
