Resource,Type,Manufacturer,Model,Value,Status
"2016 Mac Mini A-36-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-37-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-38-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-39-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-40-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-41-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-42-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-43-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-44-MM","FESTIVAL MAC MINIS",,A1347,,Available
"2016 Mac Mini A-45-MM","FESTIVAL MAC MINIS",,A1347,,Available
"20D 17-85 MM - A11CD","SPARE DSLR'S FOR SPACE",CANON,20D,$4.00,"Checked out"
"20D 18-55 MM - A09CD",20D,CANON,20D,$19.00,Offline
"20 x 24 EASEL - B41EA",EASELS,,,,Available
"20 x 24 EASEL - B42EA",EASELS,,,,Available
"20 x 24 EASEL - B44EA",EASELS,,,,Available
"210MM 5.6 - B12VL","SINAR LENSES",SINAR,"210MM 5.6",$12.00,Non-circulating
"210MM 5.6 - B18VL","SINAR LENSES",SINARON-S,"210MM 5.6",$12.00,Available
"210MM 5.6 - B28VL",210MM,NIKKOR-W,"210MM 5.6",$12.00,"Checked out"
"210MM 5.6 - B30VL","TOYO LENSES",SCHNEIDER,"210MM 5.6",$12.00,"Checked out"
"210MM 6.8 - B19VL",210MM,RODENSTOCK,"210MM 6.8",$10.00,Available
"210MM 6.8 - B23VL",210MM,RODENSTOCK,"210MM 6.8",$12.00,Non-circulating
"210MM 6.8 - B24VL",210MM,RODENSTOCK,"210MM 6.8",$12.00,Non-circulating
"210MM 6.8 - B25VL",210MM,RODENSTOCK,"210MM 6.8",$10.00,Non-circulating
"210MM 6.8 - B27VL",210MM,RODENSTOCK,"210MM 6.8",$10.00,Non-circulating
"22"" SAMSUNG T220HD MONITOR - CANT MOUNT ON WALL - A14TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"22"" SAMSUNG T220HD MONITOR - CANT MOUNT ON WALL - A15TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A16TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A17TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A18TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A20TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A21TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"23"" COBY MONITOR - A23TV","FESTIVAL MONITORS",SAMSUNG,T220HD,$350.00,Available
"240MM 5.6 (8X10) - B36VL","TOYO LENSES",RODENSTOCK,"240MM APO-SIRONAR-S COPAL #3 ",$23.40,Available
"24-105MM - B101CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B102CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B103CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B104CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B105CL","CANON LENSES",CANON,"EF 24-105MM",,Non-circulating
"24-105MM - B111CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B112CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B113CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B114CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B115CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B116CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B117CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B118CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B119CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B120CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B121CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B122CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B123CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B124CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B125CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B126CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B127CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B128CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B129CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B130CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B131CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B132CL","CANON KIT LENSES",CANON,"24-105mm ","$1,500.00",Non-circulating
"24-105MM - B18CL","CANON KIT LENSES",CANON,24-105MM,$15.00,Non-circulating
"24-105MM - B27CL","CANON KIT LENSES",CANON,24-105MM,$15.00,Non-circulating
"24-105MM - B35CL","CANON KIT LENSES",CANON,"24-105mm ",$10.00,Non-circulating
"24-105MM - B37CL","CANON KIT LENSES",CANON,"24-105mm ",$15.00,Non-circulating
"24-105MM - B38CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B39CL","CANON KIT LENSES",CANON,24-105MM,$10.60,Non-circulating
"24-105MM - B61CL","CANON KIT LENSES",CANON,24-105MM,$10.50,Non-circulating
"24-105MM - B68CL","CANON KIT LENSES",CANON,24-105MM,$12.00,Non-circulating
"24-105MM - B69CL","CANON KIT LENSES",CANON,24-105MM,$15.00,Non-circulating
"24-105MM - B70CL","CANON KIT LENSES",CANON,24-105MM,$15.00,Non-circulating
